,id,DepthTimestamp,DepthPath,RGBTimestamp,RGBPath
11,1316653590,989052,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653590.989052-1946817238.pgm,971145,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653590.971145-1946591184.ppm
12,1316653591,982337,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653591.982337-2006881888.pgm,977510,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653591.977510-2006599809.ppm
13,1316653592,989896,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653592.989896-2066946538.pgm,971501,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653592.971501-2066608434.ppm
14,1316653593,987442,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653593.987442-2127011188.pgm,981380,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653593.981380-2126617059.ppm
15,1316653594,989788,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653594.989788-2187075838.pgm,971320,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653594.971320-2186625684.ppm
16,1316653595,994501,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653595.994501-2247140488.pgm,981529,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653595.981529-2246634309.ppm
17,1316653596,985813,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653596.985813-2307205138.pgm,973548,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653596.973548-2306642934.ppm
18,1316653597,992545,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653597.992545-2367269788.pgm,976223,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653597.976223-2366651559.ppm
19,1316653598,920510,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653598.920510-2423330128.pgm,904048,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653598.904048-2422659609.ppm
20,1316653599,979921,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653599.979921-2485396933.pgm,973997,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653599.973997-2486668809.ppm
21,1316653600,993856,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653600.993856-2547463738.pgm,979904,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653600.979904-2546677434.ppm
22,1316653601,976528,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653601.976528-2605526233.pgm,971834,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653601.971834-2606686059.ppm
23,1316653602,993927,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653602.993927-2667593038.pgm,980362,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653602.980362-2666694684.ppm
24,1316653603,962858,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653603.962858-2723653378.pgm,971807,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653603.971807-2726703309.ppm
25,1316653604,994186,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653604.994186-2787722338.pgm,981459,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653604.981459-2786711934.ppm
26,1316653605,972582,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653605.972582-2843782678.pgm,980666,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653605.980666-2846720559.ppm
27,1316653606,972913,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653606.972913-2905849483.pgm,980407,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653606.980407-2906729184.ppm
28,1316653607,996901,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653607.996901-2967916288.pgm,972371,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653607.972371-2966737809.ppm
29,1316653608,969218,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653608.969218-3025978783.pgm,978639,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653608.978639-3026746434.ppm
30,1316653609,981301,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653609.981301-3086043433.pgm,991359,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653609.991359-3086755059.ppm
31,1316653610,973047,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653610.973047-3146108083.pgm,982021,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653610.982021-3146763684.ppm
32,1316653611,981181,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653611.981181-3206172733.pgm,991150,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653611.991150-3206772309.ppm
33,1316653612,972534,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653612.972534-3266237383.pgm,979825,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653612.979825-3266780934.ppm
34,1316653613,980423,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653613.980423-3326302033.pgm,987599,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653613.987599-3326789559.ppm
35,1316653614,973029,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653614.973029-3386366683.pgm,982443,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653614.982443-3386798184.ppm
36,1316653615,980918,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653615.980918-3446431333.pgm,990456,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653615.990456-3446806809.ppm
37,1316653616,986213,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653616.986213-3506495983.pgm,975807,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653616.975807-3506815434.ppm
38,1316653617,984813,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653617.984813-3566560633.pgm,978757,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653617.978757-3566824059.ppm
39,1316653618,944755,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653618.944755-3624623128.pgm,954462,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653618.954462-3624832396.ppm
40,1316653619,984637,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653619.984637-3686689933.pgm,994286,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653619.994286-3686841309.ppm
41,1316653620,992010,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653620.992010-3746754583.pgm,983385,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653620.983385-3746849934.ppm
42,1316653621,987855,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653621.987855-3806819233.pgm,980319,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653621.980319-3806858559.ppm
43,1316653622,989970,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653622.989970-3866883883.pgm,977625,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653622.977625-3866867184.ppm
44,1316653623,992858,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653623.992858-3914935603.pgm,777631,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653623.777631-3914874084.ppm
45,1316653624,961347,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653624.961347-3985011028.pgm,981632,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653624.981632-3986884434.ppm
46,1316653625,824655,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653625.824655-4037067058.pgm,846510,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653625.846510-4038891909.ppm
47,1316653626,996422,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653626.996422-4107142483.pgm,979027,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653626.979027-4106901684.ppm
48,1316653627,978348,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653627.978348-4163202823.pgm,916071,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653627.916071-4162909734.ppm
49,1316653628,993324,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653628.993324-4227271783.pgm,975938,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653628.975938-4226918934.ppm
50,1316653629,995392,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653629.995392-4287336433.pgm,983818,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653629.983818-4286927559.ppm
51,1316653630,992216,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653630.992216-52433787.pgm,978792,D:\NYU Data\nyu_depth_v2_raw\basement_0001a\r-1316653630.978792-51968888.ppm
52,1316653660,923234,D:/NYU Data/nyu_depth_v2_raw/basement_0001a/d-1316653631.493424-82466112.pgm,937594,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653660.923234-1848227063.ppm
53,1316653648,888442,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653648.888442-1125588867.pgm,912491,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653648.912491-1128123563.ppm
54,1316653649,994255,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653649.994255-1191659982.pgm,987946,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653649.987946-1192132763.ppm
55,1316653650,975782,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653650.975782-1251724632.pgm,990239,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653650.990239-1252141388.ppm
56,1316653651,990479,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653651.990479-1311789282.pgm,984257,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653651.984257-1312150013.ppm
57,1316653652,995088,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653652.995088-1371853932.pgm,990111,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653652.990111-1372158638.ppm
58,1316653653,993708,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653653.993708-1431918582.pgm,989011,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653653.989011-1432167263.ppm
59,1316653654,986030,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653654.986030-1491983232.pgm,981032,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653654.981032-1492175888.ppm
60,1316653655,989823,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653655.989823-1552047882.pgm,998809,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653655.998809-1552184513.ppm
61,1316653656,994381,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653656.994381-1612112532.pgm,988016,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653656.988016-1612193138.ppm
62,1316653657,992253,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653657.992253-1672177182.pgm,978847,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653657.978847-1672201763.ppm
63,1316653658,995258,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653658.995258-1732241832.pgm,988714,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653658.988714-1732210388.ppm
64,1316653659,960669,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653659.960669-1790304327.pgm,996612,D:\NYU Data\nyu_depth_v2_raw\basement_0001b\r-1316653659.996612-1792219013.ppm
65,1316653687,842499,D:/NYU Data/nyu_depth_v2_raw/basement_0001b/d-1316653660.937594-1848366822.pgm,835517,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653687.842499-3408451313.ppm
66,1316653677,985409,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653677.985409-2871468027.pgm,994997,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653677.994997-2872374263.ppm
67,1316653678,976757,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653678.976757-2931532677.pgm,999188,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653678.999188-2932382888.ppm
68,1316653679,984683,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653679.984683-2991597327.pgm,991867,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653679.991867-2992391513.ppm
69,1316653680,976661,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653680.976661-3051661977.pgm,998984,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653680.998984-3052400138.ppm
70,1316653681,984996,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653681.984996-3111726627.pgm,994263,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653681.994263-3112408763.ppm
71,1316653682,976580,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653682.976580-3171791277.pgm,996952,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653682.996952-3172417388.ppm
72,1316653683,985046,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653683.985046-3231855927.pgm,994831,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653683.994831-3232426013.ppm
73,1316653684,992330,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653684.992330-3291920577.pgm,999416,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653684.999416-3292434638.ppm
74,1316653685,984913,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653685.984913-3351985227.pgm,994713,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653685.994713-3352443263.ppm
75,1316653686,912083,D:/NYU Data/nyu_depth_v2_raw/basement_0001c/d-1316653686.912083-3406043412.pgm,844585,D:\NYU Data\nyu_depth_v2_raw\basement_0001c\r-1316653686.844585-3388448438.ppm
76,1294886887,982908,D:/NYU Data/nyu_depth_v2_raw/bathroom_0001/d-1294886887.982908-301441343.pgm,988467,D:\NYU Data\nyu_depth_v2_raw\bathroom_0001\r-1294886887.988467-301582838.ppm
77,1294886888,993629,D:/NYU Data/nyu_depth_v2_raw/bathroom_0001/d-1294886888.993629-361505993.pgm,987195,D:\NYU Data\nyu_depth_v2_raw\bathroom_0001\r-1294886888.987195-361591463.ppm
78,1294886889,985547,D:/NYU Data/nyu_depth_v2_raw/bathroom_0001/d-1294886889.985547-421570643.pgm,979222,D:\NYU Data\nyu_depth_v2_raw\bathroom_0001\r-1294886889.979222-421600088.ppm
79,1294886890,993789,D:/NYU Data/nyu_depth_v2_raw/bathroom_0001/d-1294886890.993789-481635293.pgm,987167,D:\NYU Data\nyu_depth_v2_raw\bathroom_0001\r-1294886890.987167-481608713.ppm
80,1294886891,995929,D:/NYU Data/nyu_depth_v2_raw/bathroom_0001/d-1294886891.995929-541699943.pgm,981265,D:\NYU Data\nyu_depth_v2_raw\bathroom_0001\r-1294886891.981265-541617338.ppm
81,1294886892,987822,D:/NYU Data/nyu_depth_v2_raw/bathroom_0001/d-1294886892.987822-601764593.pgm,993138,D:\NYU Data\nyu_depth_v2_raw\bathroom_0001\r-1294886892.993138-601625963.ppm
82,1295148743,659677,D:/NYU Data/nyu_depth_v2_raw/bathroom_0001/d-1294886893.995873-661829243.pgm,675600,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148743.659677-165320418.ppm
83,1295148731,999029,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148731.999029-3760097518.pgm,984353,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148731.984353-3760187089.ppm
84,1295148732,990948,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148732.990948-3820162168.pgm,996485,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148732.996485-3820195714.ppm
85,1295148733,998948,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148733.998948-3880226818.pgm,984253,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148733.984253-3880204339.ppm
86,1295148734,990867,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148734.990867-3940291468.pgm,996332,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148734.996332-3940212964.ppm
87,1295148735,998801,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148735.998801-4000356118.pgm,989066,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148735.989066-4000221589.ppm
88,1295148736,991727,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148736.991727-4060420768.pgm,981038,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148736.981038-4060230214.ppm
89,1295148737,997693,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148737.997693-4120485418.pgm,990920,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148737.990920-4120238839.ppm
90,1295148738,973567,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148738.973567-4178547913.pgm,982893,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148738.982893-4180247464.ppm
91,1295148739,997653,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148739.997653-4240614718.pgm,990829,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148739.990829-4240256089.ppm
92,1295148740,997734,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148740.997734-5712072.pgm,990811,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148740.990811-5297418.ppm
93,1295148741,973370,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148741.973370-63774567.pgm,982758,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148741.982758-65306043.ppm
94,1295148742,999350,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148742.999350-125841372.pgm,984682,D:\NYU Data\nyu_depth_v2_raw\bathroom_0002\r-1295148742.984682-125314668.ppm
95,1295406983,568018,D:/NYU Data/nyu_depth_v2_raw/bathroom_0002/d-1295148743.675600-165884472.pgm,551749,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406983.568018-3965527609.ppm
96,1295406963,985973,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406963.985973-2790391363.pgm,971168,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406963.971168-2789358559.ppm
97,1295406964,993809,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406964.993809-2850456013.pgm,999282,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406964.999282-2851367472.ppm
98,1295406965,969782,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406965.969782-2908518508.pgm,975192,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406965.975192-2909375809.ppm
99,1295406966,969096,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406966.969096-2960574538.pgm,976236,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406966.976236-2961383284.ppm
100,1295406967,956883,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406967.956883-3028647808.pgm,975012,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406967.975012-3029393059.ppm
101,1295406968,998818,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406968.998818-3090714613.pgm,973977,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406968.973977-3089401684.ppm
102,1295406969,976266,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406969.976266-3146774953.pgm,981463,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406969.981463-3147410022.ppm
103,1295406970,995676,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406970.995676-3210843913.pgm,970906,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406970.970906-3209418934.ppm
104,1295406971,995631,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406971.995631-3270908563.pgm,968986,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406971.968986-3269427559.ppm
105,1295406972,971549,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406972.971549-3328971058.pgm,976895,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406972.976895-3329436184.ppm
106,1295406973,963577,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406973.963577-3389035708.pgm,996160,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406973.996160-3391445097.ppm
107,1295406974,971484,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406974.971484-3449100358.pgm,976793,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406974.976793-3449453434.ppm
108,1295406975,971446,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406975.971446-3509165008.pgm,976682,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406975.976682-3509462059.ppm
109,1295406976,979364,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406976.979364-3569229658.pgm,996783,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406976.996783-3571470972.ppm
110,1295406977,971419,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406977.971419-3629294308.pgm,976745,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406977.976745-3629479309.ppm
111,1295406978,979350,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406978.979350-3689358958.pgm,996720,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406978.996720-3691488222.ppm
112,1295406979,971342,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406979.971342-3749423608.pgm,976589,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406979.976589-3749496559.ppm
113,1295406980,979316,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406980.979316-3809488258.pgm,996631,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406980.996631-3811505472.ppm
114,1295406981,986130,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406981.986130-3869552908.pgm,977522,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406981.977522-3869513809.ppm
115,1295406982,974179,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406982.974179-3929617558.pgm,979654,D:\NYU Data\nyu_depth_v2_raw\bathroom_0003\r-1295406982.979654-3929522434.ppm
116,1295836688,819077,D:/NYU Data/nyu_depth_v2_raw/bathroom_0003/d-1295406983.551749-3963654193.pgm,834386,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836688.819077-2181130583.ppm
117,1295836675,997850,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836675.997850-1410892327.pgm,991327,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836675.991327-1411019896.ppm
118,1295836676,989950,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836676.989950-1470956977.pgm,983315,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836676.983315-1471028521.ppm
119,1295836677,997999,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836677.997999-1531021627.pgm,991194,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836677.991194-1531037146.ppm
120,1295836678,958003,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836678.958003-1589084122.pgm,983181,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836678.983181-1591045771.ppm
121,1295836679,968709,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836679.968709-1649148772.pgm,984161,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836679.984161-1651054396.ppm
122,1295836680,998832,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836680.998832-1711215577.pgm,992017,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836680.992017-1711063021.ppm
123,1295836681,968568,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836681.968568-1769278072.pgm,984086,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836681.984086-1771071646.ppm
124,1295836682,998621,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836682.998621-1831344877.pgm,991942,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836682.991942-1831080271.ppm
125,1295836683,968539,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836683.968539-1889407372.pgm,983848,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836683.983848-1891088896.ppm
126,1295836684,966473,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836684.966473-1949472022.pgm,991733,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836684.991733-1951097521.ppm
127,1295836685,970361,D:/NYU Data/nyu_depth_v2_raw/bathroom_0004/d-1295836685.970361-2009536672.pgm,986998,D:\NYU Data\nyu_depth_v2_raw\bathroom_0004\r-1295836685.986998-2011106146.ppm
